Artform,Year,Income,Age,Education
Jazz,1982,6,32,2
Classical,1982,6,32,2
Opera,1982,6,32,2
Musical,1982,6,32,2
Art Museum,1982,6,32,2
Jazz,1982,40,18,3
Jazz,1982,41,59,6
Classical,1982,41,59,6
Play,1982,41,59,6
Classical,1982,41,64,2
Art Museum,1982,41,64,2
Classical,1982,0,56,5
Musical,1982,0,56,5
Play,1982,0,56,5
Ballet,1982,0,56,5
Art Museum,1982,0,56,5
Classical,1982,0,54,3
Art Museum,1982,41,50,5
Art Museum,1982,41,52,3
Musical,1982,41,47,3
Musical,1982,17,62,2
Play,1982,17,62,2
Art Museum,1982,17,62,2
Musical,1982,17,59,2
Play,1982,17,59,2
Art Museum,1982,17,59,2
Jazz,1982,17,41,4
Classical,1982,17,41,4
Art Museum,1982,17,41,4
Jazz,1982,17,32,4
Classical,1982,17,32,4
Play,1982,17,32,4
Art Museum,1982,17,32,4
Art Museum,1982,41,31,5
Classical,1982,41,65,5
Art Museum,1982,41,65,5
Classical,1982,41,61,4
Art Museum,1982,41,61,4
Classical,1982,41,42,6
Musical,1982,41,42,6
Play,1982,41,42,6
Ballet,1982,41,42,6
Classical,1982,41,37,6
Musical,1982,41,37,6
Play,1982,41,37,6
Ballet,1982,41,37,6
Jazz,1982,40,64,2
Jazz,1982,40,58,3
Jazz,1982,22,37,2
Jazz,1982,22,32,2
Jazz,1982,40,63,3
Musical,1982,40,63,3
Musical,1982,7,52,4
Play,1982,7,52,4
Jazz,1982,7,53,5
Musical,1982,7,53,5
Play,1982,7,53,5
Jazz,1982,7,20,3
Jazz,1982,7,22,4
Play,1982,40,24,5
Art Museum,1982,40,24,5
Musical,1982,40,22,5
Art Museum,1982,40,22,5
Art Museum,1982,7,28,6
Art Museum,1982,7,31,6
Art Museum,1982,25,21,4
Jazz,1982,41,78,6
Opera,1982,41,78,6
Musical,1982,41,78,6
Play,1982,41,78,6
Art Museum,1982,41,78,6
Opera,1982,41,73,5
Art Museum,1982,41,73,5
Jazz,1982,41,28,4
Classical,1982,22,36,6
Art Museum,1982,22,36,6
Musical,1982,41,34,5
Play,1982,41,34,5
Ballet,1982,41,34,5
Art Museum,1982,41,34,5
Play,1982,0,35,1
Jazz,1982,17,52,4
Classical,1982,17,52,4
Musical,1982,17,52,4
Play,1982,17,52,4
Art Museum,1982,17,52,4
Ballet,1982,6,64,3
Art Museum,1982,6,64,3
Art Museum,1982,40,34,6
Musical,1982,41,45,3
Musical,1982,41,38,3
Musical,1982,41,20,4
Art Museum,1982,41,18,3
Musical,1982,7,47,4
Art Museum,1982,7,47,4
Musical,1982,7,46,3
Art Museum,1982,7,46,3
Jazz,1982,41,41,4
Musical,1982,41,41,4
Play,1982,41,41,4
Art Museum,1982,41,41,4
Musical,1982,41,28,4
Play,1982,41,28,4
Art Museum,1982,41,28,4
Musical,1982,41,30,5
Art Museum,1982,41,30,5
Jazz,1982,22,23,5
Classical,1982,22,23,5
Musical,1982,22,23,5
Ballet,1982,22,23,5
Art Museum,1982,22,23,5
Musical,1982,7,49,3
Classical,1982,6,88,2
Play,1982,6,88,2
Play,1982,41,54,3
Play,1982,41,50,3
Musical,1982,24,73,3
Play,1982,24,73,3
Jazz,1982,7,20,4
Jazz,1982,7,18,4
Classical,1982,7,27,3
Art Museum,1982,7,27,3
Jazz,1982,25,27,4
Art Museum,1982,25,27,4
Jazz,1982,25,25,3
Art Museum,1982,25,25,3
Jazz,1982,24,18,3
Jazz,1982,0,41,4
Art Museum,1982,0,41,4
Classical,1982,22,37,2
Jazz,1982,22,20,3
Musical,1982,7,47,3
Jazz,1982,22,83,3
Classical,1982,7,60,4
Musical,1982,7,60,4
Play,1982,7,60,4
Art Museum,1982,7,60,4
Classical,1982,41,48,6
Musical,1982,41,48,6
Play,1982,41,48,6
Art Museum,1982,41,48,6
Classical,1982,3,23,4
Musical,1982,3,23,4
Art Museum,1982,3,23,4
Musical,1982,3,23,4
Art Museum,1982,3,23,4
Art Museum,1982,6,42,3
Art Museum,1982,6,44,3
Art Museum,1982,6,25,4
Art Museum,1982,0,22,2
Classical,1982,7,73,4
Art Museum,1982,7,73,4
Classical,1982,7,70,3
Art Museum,1982,7,70,3
Classical,1982,17,75,4
Musical,1982,17,75,4
Play,1982,17,75,4
Classical,1982,17,68,4
Musical,1982,17,68,4
Play,1982,17,68,4
Art Museum,1982,17,68,4
Classical,1982,17,37,6
Musical,1982,17,37,6
Play,1982,17,37,6
Ballet,1982,17,37,6
Art Museum,1982,17,37,6
Classical,1982,17,35,5
Musical,1982,17,35,5
Play,1982,17,35,5
Ballet,1982,17,35,5
Art Museum,1982,17,35,5
Classical,1982,41,81,4
Opera,1982,41,81,4
Musical,1982,41,81,4
Play,1982,41,81,4
Ballet,1982,41,81,4
Art Museum,1982,41,81,4
Jazz,1982,7,30,5
Jazz,1982,7,26,3
Play,1982,7,26,3
Play,1982,41,49,1
Art Museum,1982,41,49,1
Art Museum,1982,7,39,2
Art Museum,1982,6,40,3
Art Museum,1982,6,35,2
Ballet,1982,17,26,5
Ballet,1982,17,27,6
Musical,1982,41,67,3
Play,1982,41,67,3
Art Museum,1982,41,67,3
Jazz,1982,17,42,5
Classical,1982,17,42,5
Play,1982,17,42,5
Art Museum,1982,17,42,5
Classical,1982,41,49,6
Art Museum,1982,41,49,6
Classical,1982,41,44,6
Musical,1982,41,44,6
Art Museum,1982,41,44,6
Classical,1982,0,72,6
Classical,1982,0,70,5
Art Museum,1982,0,70,5
Musical,1982,6,30,6
Play,1982,6,30,6
Jazz,1982,41,41,5
Art Museum,1982,41,41,5
Art Museum,1982,6,58,6
Art Museum,1982,6,65,3
Classical,1982,7,34,5
Musical,1982,7,34,5
Art Museum,1982,7,34,5
Classical,1982,7,35,6
Play,1982,7,35,6
Art Museum,1982,7,35,6
Classical,1982,7,35,5
Play,1982,7,35,5
Art Museum,1982,7,35,5
Jazz,1982,17,33,6
Art Museum,1982,17,33,6
Jazz,1982,17,32,5
Musical,1982,17,32,5
Art Museum,1982,17,32,5
Play,1982,41,33,6
Musical,1982,41,31,6
Play,1982,41,31,6
Play,1982,7,30,5
Art Museum,1982,40,20,3
Art Museum,1982,41,42,3
Ballet,1982,41,38,4
Art Museum,1982,41,38,4
Classical,1982,41,50,2
Classical,1982,41,48,3
Classical,1982,41,26,4
Jazz,1982,41,24,3
Classical,1982,41,24,3
Classical,1982,40,49,1
Classical,1982,40,44,3
Classical,1982,7,37,3
Art Museum,1982,7,59,2
Jazz,1982,7,26,4
Classical,1982,7,26,4
Musical,1982,7,26,4
Play,1982,7,26,4
Art Museum,1982,7,26,4
Musical,1982,6,37,2
Musical,1982,6,35,3
Classical,1982,17,51,6
Musical,1982,17,51,6
Play,1982,17,51,6
Art Museum,1982,17,51,6
Classical,1982,17,48,5
Opera,1982,17,48,5
Musical,1982,17,48,5
Play,1982,17,48,5
Art Museum,1982,17,48,5
Jazz,1982,17,27,6
Opera,1982,17,27,6
Musical,1982,17,27,6
Play,1982,17,27,6
Art Museum,1982,17,27,6
Jazz,1982,17,23,6
Musical,1982,17,23,6
Play,1982,17,23,6
Art Museum,1982,17,23,6
Jazz,1982,41,34,3
Art Museum,1982,25,30,5
Classical,1982,25,24,4
Opera,1982,25,24,4
Musical,1982,25,24,4
Play,1982,25,24,4
Art Museum,1982,25,24,4
Art Museum,1982,41,61,3
Jazz,1982,41,25,5
Classical,1982,41,25,5
Art Museum,1982,41,25,5
Classical,1982,41,56,5
Classical,1982,41,54,4
Art Museum,1982,40,24,4
Jazz,1982,3,36,4
Musical,1982,40,23,3
Play,1982,40,23,3
Play,1982,41,71,4
Art Museum,1982,41,71,4
Play,1982,41,70,3
Art Museum,1982,7,32,5
Art Museum,1982,7,31,4
Art Museum,1982,41,25,4
Art Museum,1982,41,25,5
Musical,1982,41,36,4
Musical,1982,41,34,4
Classical,1982,41,20,5
Jazz,1982,0,43,3
Jazz,1982,0,38,3
Musical,1982,41,38,6
Art Museum,1982,41,38,6
Classical,1982,41,35,4
Musical,1982,41,35,4
Art Museum,1982,41,35,4
Art Museum,1982,6,28,4
Musical,1982,41,55,4
Art Museum,1982,41,55,4
Art Museum,1982,41,55,4
Art Museum,1982,41,19,4
Art Museum,1982,41,46,4
Classical,1982,7,47,3
Art Museum,1982,7,47,3
Musical,1982,17,42,5
Play,1982,17,42,5
Ballet,1982,17,42,5
Art Museum,1982,17,42,5
Classical,1982,17,44,4
Musical,1982,17,44,4
Play,1982,17,44,4
Ballet,1982,17,44,4
Art Museum,1982,17,44,4
Musical,1982,17,18,3
Play,1982,17,18,3
Ballet,1982,17,18,3
Art Museum,1982,41,27,5
Classical,1982,41,29,5
Musical,1982,41,29,5
Musical,1982,41,22,5
Art Museum,1982,41,22,5
Play,1982,41,35,6
Art Museum,1982,41,35,6
Musical,1982,41,36,6
Art Museum,1982,41,36,6
Classical,1982,41,33,6
Musical,1982,41,33,6
Play,1982,41,33,6
Art Museum,1982,41,33,6
Art Museum,1982,41,35,4
Musical,1982,6,48,3
Play,1982,6,48,3
Art Museum,1982,6,48,3
Jazz,1982,41,33,4
Jazz,1982,41,30,4
Musical,1982,6,33,6
Play,1982,6,33,6
Jazz,1982,41,23,2
Jazz,1982,41,20,3
Jazz,1982,17,44,3
Art Museum,1982,17,44,3
Ballet,1982,41,33,3
Art Museum,1982,41,31,3
Jazz,1982,22,23,3
Musical,1982,40,24,3
Musical,1982,40,20,3
Musical,1982,41,36,4
Art Museum,1982,22,29,3
Art Museum,1982,7,24,3
Musical,1982,7,29,4
Play,1982,7,29,4
Classical,1982,7,33,4
Musical,1982,7,33,4
Play,1982,7,33,4
Art Museum,1982,7,33,4
Classical,1982,6,31,6
Opera,1982,6,31,6
Ballet,1982,6,31,6
Art Museum,1982,6,31,6
Jazz,1982,21,19,3
Musical,1982,21,19,3
Play,1982,21,83,2
Art Museum,1982,3,48,2
Art Museum,1982,24,20,4
